Airline,IATA,Flights
SkyWest Airlines,OO,4555
Air Canada,AC,1340
Japan Airlines,JL,1305
"COPA Airlines, Inc.",CM,1219
Hong Kong Airlines Limited,HX,848
Finnair,AY,829
WOW Air,WW,630
United Airlines,UA,525
Southwest Airlines,WN,441
Singapore Airlines,SQ,435
Delta Air Lines,DL,399
Compass Airlines,CP,396
Emirates,EK,345
American Airlines,AA,341
Air France,AF,335
Volaris Airlines,Y4,328
Korean Air Lines,KE,326
Virgin Atlantic,VS,324
Frontier Airlines,F9,312
Sun Country Airlines,SY,285
"Atlas Air, Inc",5Y,283
China Southern,CZ,281
Air Pacific Limited dba Fiji Airways,FJ,271
Jazz Aviation,QK,265
China Eastern,MU,263
Air New Zealand,NZ,241
Qantas Airways,QF,238
Aeromexico,AM,231
TACA,TA,228
EVA Airways,BR,209
Turkish Airlines,TK,207
Lufthansa German Airlines,LH,206
Air India Limited,AI,205
China Airlines,CI,185
Icelandair,FI,171
Cathay Pacific,CX,170
Aer Lingus,EI,170
Iberia,IB,155
Thomas Cook Airlines,MT,143
Hawaiian Airlines,HA,134
Philippine Airlines,PR,121
Alaska Airlines,AS,116
Redding Aero Enterprises,bxr,115
French Bee,BF,113
JetBlue Airways,B6,111
XL Airways France,SE,105
KLM Royal Dutch Airlines,KL,100
Air China,CA,98
Horizon Air,QX,86
All Nippon Airways,NH,70
British Airways,BA,68
SAS Airlines,SK,68
WestJet Airlines,WS,54
Asiana Airlines,OZ,53
Swiss International,LX,51
Federal Express,FX,50
Kalitta Air,K4,49
ABC Aerolineas S.A. de C.V. dba Interjet,4O,47
Nippon Cargo Airlines,KZ,45
Virgin America,VX,45
Air Berlin,AB,45
Etihad Airways,EY,42
ABX Air,GB,40
Mesa Airlines,YV,40
Ameriflight,A8,40
US Airways,US,39
Air Cargo Carriers,2Q,38
Miami Air International,GL,38
Republic Airlines,RW,34
United Parcel Service Co,5X,30
AirTran Airways,FL,29
Southern Air,9S,29
LAN Peru,LP,29
World Airways,WO,22
Mesaba Airlines,XJ,21
Mexicana Airlines,MX,20
Astar Air Cargo,ER,17
Midwest Airlines,YX,16
Northwest Airlines,NW,14
American Eagle Airlines,MQ,13
Evergreen International Airlines,EZ,12
China Cargo Airlines,CK,12
Allegiant Air,G4,11
Jet Airways,9W,10
ExpressJet Airlines,XE,10
BelAir Airlines,BBB,9
Cargolux Airlines,CV,8
ATA Airlines,TZ,8
Kitty Hawk Air Cargo,KR,7
Spirit Airlines,NK,7
Atlantic Southeast Airlines,EV,6
Tradewinds Airlines,WI,5
Xtra Airways,XP,4
Independence Air,DH,1
