ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone
149,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.20610046386719,-78.83560180664062,988,-5.0
5474,La Tabatière Airport,La Tabatière,Canada,ZLT,CTU5,50.8307991027832,-58.97560119628906,102,-4.0
9418,Auburn University Regional Airport,Auburn,United States,AUO,KAUO,32.615101,-85.433998,777,-6.0
4265,Martha's Vineyard Airport,Vineyard Haven MA,United States,MVY,KMVY,41.3931007385,-70.6143035889,67,-5.0
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.310997009,1175,-6.0
6215,Long Lellang Airport,Long Datih,Malaysia,LGL,WBGF,3.42100000381,115.153999329,1400,8.0
7162,Larsen Bay Airport,Larsen Bay,United States,KLN,PALB,57.5350990295,-153.977996826,87,-9.0
1272,Niort-Souché Airport,Niort,France,NIT,LFBN,46.313477,-0.394529,203,1.0
4059,Jomo Kenyatta International Airport,Nairobi,Kenya,NBO,HKJK,-1.31923997402,36.9277992249,5330,3.0
559,RAF Wyton,Wyton,United Kingdom,QUY,EGUY,52.3572006226,-0.107832998037,135,0.0
1916,Pinar Del Rio Airport,Pinar Del Rio Norte,Cuba,QPD,MUPR,22.42140007019043,-83.67839813232422,131,-5.0
6009,Subic Bay International Airport,Olongapo City,Philippines,SFS,RPLB,14.794400215148926,120.27100372314452,64,8.0
627,Stauning Airport,Stauning,Denmark,STA,EKVJ,55.9901008605957,8.353910446166992,17,1.0
7804,Wycombe Air Park,Wycombe,United Kingdom,HYC,EGTB,51.6116981506,-0.8083329796790001,515,0.0
7610,Whitianga Airport,Whitianga,New Zealand,WTZ,NZWT,-36.83169937133789,175.6790008544922,10,12.0
7494,Rock Hill - York County Airport,Rock Hill,United States,RKH,KUZA,34.9878006,-81.05719757,666,-5.0
1213,Almería International Airport,Almeria,Spain,LEI,LEAM,36.84389877319336,-2.3701000213623047,70,1.0
2951,Vitebsk Vostochny Airport,Vitebsk,Belarus,VTB,UMII,55.126499176025,30.349599838257,682,3.0
43,Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,-139.04100036621094,2647,-8.0
7048,Volk Field,Camp Douglas,United States,VOK,KVOK,43.938999176025,-90.253402709961,912,-6.0
1422,Saint-Nazaire-Montoir Airport,St.-nazaire,France,SNR,LFRZ,47.3105556,-2.1566667,13,1.0
2195,Salalah Airport,Salalah,Oman,SLL,OOSA,17.038700103759766,54.09130096435547,73,4.0
11277,Turtle Island Seaplane Base,Turtle Island,Fiji,TTL,NFUL,-16.966,177.368,0,12.0
3246,Mopah Airport,Merauke,Indonesia,MKQ,WAKK,-8.52029037475586,140.41799926757812,10,9.0
2539,Serafin Enoss Bertaso Airport,Chapeco,Brazil,XAP,SBCH,-27.134199142456,-52.656600952148,2146,-3.0
6339,Yorke Island Airport,Yorke Island,Australia,OKR,YYKI,-9.752801,143.405673,10,10.0
2852,Maturín Airport,Maturin,Venezuela,MUN,SVMT,9.75452995300293,-63.14739990234375,224,-4.0
13192,Delingha Airport,Haixi,China,HXD,ZLDL,37.125286,97.268658,9843,8.0
