Departure,Arrival,Airline,Plane,Departure_Date,Arrival_Date,Number,IATA
YUY,BMV,WO,B738,2025-04-05T15:00:46,2025-04-06T06:01:32,3327,WO3327
ZLT,ARH,CP,E170,2025-04-01T06:12:15,2025-04-01T12:24:30,9436,CP9436
AUO,RBR,AI,A321,2025-04-02T05:46:10,2025-04-02T11:32:20,6432,AI6432
MVY,SHG,CV,A319,2025-04-06T06:28:34,2025-04-06T12:57:08,6420,CV6420
YHB,LDY,UA,C-99,2025-04-03T06:30:47,2025-04-03T13:01:34,1225,UA1225
LGL,TDD,US,MD-88,2025-04-07T21:18:15,2025-04-08T18:36:30,8221,US8221
KLN,OUZ,EI,MD-11,2025-04-05T11:48:50,2025-04-05T23:37:40,7527,EI7527
NIT,YDB,AC,B-99,2025-04-04T08:30:02,2025-04-04T17:00:04,5926,AC5926
NBO,YNS,LH,A332,2025-04-01T13:16:58,2025-04-02T02:33:56,9181,LH9181
QUY,YYR,IB,MD-11,2025-04-02T04:27:57,2025-04-02T08:55:54,9161,IB9161
QPD,QGU,UA,B737,2025-04-06T13:58:26,2025-04-07T03:56:52,7271,UA7271
SFS,MIJ,5X,717,2025-04-03T06:28:28,2025-04-03T12:56:56,5838,5X5838
STA,HIW,IB,CRJ7,2025-04-03T09:50:42,2025-04-03T19:41:24,7821,IB7821
HYC,MUH,GL,CRJ7,2025-04-04T03:38:50,2025-04-04T07:17:40,7607,GL7607
WTZ,CSZ,BBB,PA-31,2025-04-03T11:12:02,2025-04-03T22:24:04,6226,BBB6226
RKH,MIJ,4O,MD-87,2025-04-02T12:41:04,2025-04-03T01:22:08,8256,4O8256
LEI,LXR,CX,A330,2025-04-04T04:00:57,2025-04-04T08:01:54,9324,CX9324
VTB,HDE,NZ,A310,2025-04-07T09:30:34,2025-04-07T19:01:08,8293,NZ8293
YDB,GWL,FI,A124,2025-04-01T11:01:55,2025-04-01T22:03:50,5325,FI5325
VOK,SVG,SQ,AN-124,2025-04-03T07:06:19,2025-04-03T14:12:38,6155,SQ6155
SNR,JGN,WI,B762,2025-04-03T08:34:46,2025-04-03T17:09:32,4460,WI4460
SLL,BRL,LX,B738,2025-04-05T14:22:36,2025-04-06T04:45:12,3547,LX3547
TTL,HOK,WN,E175,2025-04-03T05:36:50,2025-04-03T11:13:40,6111,WN6111
MKQ,SVG,9S,M90,2025-04-02T15:03:14,2025-04-03T06:06:28,8667,9S8667
XAP,PMO,BR,B737,2025-04-07T11:19:57,2025-04-07T22:39:54,2000,BR2000
OKR,XAP,9W,B736,2025-04-01T17:41:05,2025-04-02T11:22:10,2205,9W2205
MUN,BQA,NZ,EMB,2025-04-01T19:28:20,2025-04-02T14:56:40,4601,NZ4601
HXD,PCD,ER,SSR-100,2025-04-01T12:34:18,2025-04-02T01:08:36,7962,ER7962
OUZ,LOO,BA,DH8,2025-04-05T02:12:13,2025-04-05T04:24:26,2709,BA2709
RVS,ABL,EK,B773,2025-04-03T05:51:22,2025-04-03T11:42:44,5075,EK5075
VTN,WRE,CV,B733,2025-04-03T13:56:05,2025-04-04T03:52:10,9737,CV9737
YBR,QRC,NZ,DC-10,2025-04-01T11:06:55,2025-04-01T22:13:50,2798,NZ2798
PMO,SHG,BR,E175,2025-04-07T09:26:07,2025-04-07T18:52:14,8704,BR8704
NKW,SNR,QF,A310,2025-04-02T10:45:11,2025-04-02T21:30:22,8072,QF8072
BGL,QGU,LP,B734,2025-04-02T05:43:01,2025-04-02T11:26:02,5283,LP5283
ABA,BRL,CZ,B752,2025-04-07T10:47:51,2025-04-07T21:35:42,3170,CZ3170
VII,BYU,bxr,SA-227,2025-04-03T09:53:26,2025-04-03T19:46:52,1872,bxr1872
VPZ,MLO,5X,B762,2025-04-03T10:05:41,2025-04-03T20:11:22,4163,5X4163
FUL,NYM,JL,DH8,2025-04-06T10:08:47,2025-04-06T20:17:34,5560,JL5560
JTY,YYR,WW,B712,2025-04-05T07:32:31,2025-04-05T15:05:02,3590,WW3590
CFC,HUU,CX,B737,2025-04-04T03:41:37,2025-04-04T07:23:14,6809,CX6809
HDG,SZT,K4,A319,2025-04-05T15:17:25,2025-04-06T06:34:50,7185,K47185
TFF,VOK,9S,B772,2025-04-06T06:38:36,2025-04-06T13:17:12,8575,9S8575
DED,WBM,SK,DC-9,2025-04-06T09:08:00,2025-04-06T18:16:00,7074,SK7074
SGZ,FNU,GB,B734,2025-04-07T10:58:48,2025-04-07T21:57:36,5356,GB5356
YQN,WRE,HA,B764,2025-04-04T15:24:49,2025-04-05T06:49:38,3193,HA3193
SAD,EPA,GL,A318,2025-04-07T10:27:07,2025-04-07T20:54:14,5688,GL5688
CRE,PRZ,BBB,CRJ9,2025-04-03T04:17:33,2025-04-03T08:35:06,1214,BBB1214
GSQ,LAO,HX,A321,2025-04-04T10:42:18,2025-04-04T21:24:36,7470,HX7470
SFK,RKD,KE,A333,2025-04-01T06:06:46,2025-04-01T12:13:32,6759,KE6759
CXI,WBW,KE,B789,2025-04-07T10:24:00,2025-04-07T20:48:00,6989,KE6989
UDR,KLF,CP,MD-80,2025-04-06T05:08:59,2025-04-06T10:17:58,5597,CP5597
XIC,GOJ,LP,PA-31,2025-04-07T06:16:29,2025-04-07T12:32:58,9065,LP9065
LXR,KSN,MX,B789,2025-04-03T04:31:55,2025-04-03T09:03:50,7733,MX7733
PVL,KCO,F9,SSR-100,2025-04-01T10:09:40,2025-04-01T20:19:20,2204,F92204
HUN,RZS,RW,E170,2025-04-07T05:59:00,2025-04-07T11:58:00,2919,RW2919
NDN,VTB,CI,IL-62,2025-04-06T14:16:09,2025-04-07T04:32:18,7440,CI7440
BYU,BUC,XJ,787,2025-04-06T16:07:05,2025-04-07T08:14:10,2317,XJ2317
ASF,STI,9W,A319,2025-04-05T11:53:37,2025-04-05T23:47:14,3052,9W3052
APL,NGB,4O,B777,2025-04-04T11:29:08,2025-04-04T22:58:16,1454,4O1454
BNG,FTI,WO,DC-10,2025-04-02T08:46:10,2025-04-02T17:32:20,5620,WO5620
EIK,DBB,BR,MD-80,2025-04-01T02:12:21,2025-04-01T04:24:42,3288,BR3288
BZO,LDY,TA,EMB,2025-04-07T01:49:26,2025-04-07T03:38:52,5055,TA5055
KYP,YUY,SK,B752,2025-04-02T14:09:18,2025-04-03T04:18:36,1100,SK1100
RKD,GOV,TK,A318,2025-04-03T17:50:30,2025-04-04T11:41:00,3260,TK3260
MUH,SNR,FI,B733,2025-04-01T03:28:38,2025-04-01T06:57:16,4228,FI4228
AFS,BFS,WN,A343,2025-04-03T05:53:40,2025-04-03T11:47:20,3489,WN3489
HMI,SAY,TK,B744,2025-04-04T07:16:22,2025-04-04T14:32:44,8330,TK8330
TDD,DWD,5Y,DC-8,2025-04-07T14:17:45,2025-04-08T04:35:30,8087,5Y8087
DLS,MVY,KE,CRJ7,2025-04-04T04:35:11,2025-04-04T09:10:22,7897,KE7897
ILY,YNS,MU,B-99,2025-04-02T05:01:43,2025-04-02T10:03:26,6526,MU6526
CAP,BJI,US,MD83,2025-04-04T04:12:49,2025-04-04T08:25:38,4023,US4023
IQQ,YWB,US,DC-10,2025-04-04T10:22:42,2025-04-04T20:45:24,8057,US8057
PKE,KYP,KE,EMB,2025-04-03T09:21:31,2025-04-03T18:43:02,3030,KE3030
GMP,PSS,BBB,A318,2025-04-05T21:25:33,2025-04-06T18:51:06,7292,BBB7292
PCD,HUU,US,SSR-100,2025-04-02T06:54:07,2025-04-02T13:48:14,4703,US4703
IPL,YNC,UA,A319,2025-04-03T04:10:35,2025-04-03T08:21:10,1140,UA1140
RAR,OGN,LH,MD-88,2025-04-04T11:05:49,2025-04-04T22:11:38,2913,LH2913
MYC,OMA,LP,B734,2025-04-05T05:01:28,2025-04-05T10:02:56,8939,LP8939
CXR,CEG,EZ,B742,2025-04-02T11:46:15,2025-04-02T23:32:30,7972,EZ7972
BKK,HDG,FI,MD-80,2025-04-03T03:16:30,2025-04-03T06:33:00,3866,FI3866
HCJ,SKS,2Q,A333,2025-04-03T09:24:10,2025-04-03T18:48:20,2169,2Q2169
TLD,PMO,K4,B777,2025-04-05T07:51:41,2025-04-05T15:43:22,7906,K47906
MTN,BOW,QX,A319,2025-04-01T01:32:39,2025-04-01T03:05:18,3089,QX3089
ERL,XAP,FI,767,2025-04-04T20:09:47,2025-04-05T16:19:34,8484,FI8484
FNU,DLS,BR,777,2025-04-05T10:32:20,2025-04-05T21:04:40,5222,BR5222
CSM,ALM,QK,A319,2025-04-03T00:46:38,2025-04-03T01:33:16,4421,QK4421
JGN,AIZ,GL,B753,2025-04-01T12:48:50,2025-04-02T01:37:40,4082,GL4082
HDN,STW,A8,737,2025-04-03T11:23:06,2025-04-03T22:46:12,9491,A89491
