Route,Airline,Plane,Stops
GKA?BND,EK,764,0
MAG?PPC,TA,A343,0
HGU?RHV,JL,MD11,0
LAE?RUR,US,IL-62,0
POM?KTG,QX,DC10,0
WWK?NTL,EY,A346,0
UAK?DMB,QX,CRJ7,0
GOH?TSE,bxr,C-99,0
SFJ?SCF,HA,B712,0
THU?CZU,FJ,764,0
AEY?ISU,VS,B738,0
EGS?PZU,MX,A340,0
HFN?IRP,MQ,MD90,0
HZK?XAP,4O,A333,0
IFJ?TOU,MX,B737,0
KEF?VSA,US,A300,0
PFJ?GUI,BF,A340,0
RKV?MXI,9W,IL-62,0
SIJ?CBR,AC,B773,0
VEY?BJM,US,717,0
YAM?ESC,CK,B752,0
YAY?NMA,CI,764,0
YAZ?XSI,KE,B734,0
YBB?SVQ,MX,B763,0
YBC?GAO,DL,A380,0
YBG?HII,4O,B764,0
YBK?GOR,B6,DC-10,0
YBL?YIP,BR,E170,0
YBR?CXP,CX,B737,0
YCB?WYA,A8,MD90,0
YCD?MVB,WW,DC-10,0
YCG?BDD,XP,E170,0
YCH?PRY,DH,IL-62,0
YCL?MWD,SK,B753,0
YCO?CHQ,WS,B735,0
YCT?AIS,CP,747,0
YCW?LBQ,KE,777,0
YCY?ZCO,AI,MD11,0
YZS?RAL,KE,B735,0
YDA?BGD,CI,DC-10,0
YDB?KBZ,MX,B752,0
YDF?SXX,MU,A388,0
YDL?BNN,EK,DC-10,0
YDN?SFC,FX,764,0
YDQ?LGD,LP,L1011,0
YEG?VIX,BBB,A124,0
YEK?LWN,bxr,B772,0
YEN?KMW,AS,MD90,0
YET?TPE,5Y,A343,0
YEU?BZY,XJ,B773,0
YEV?GGE,bxr,SSR-100,0
YFB?PUK,BR,B763,0
YFC?RSW,BF,DC10,0
YFE?PNT,CV,MD83,0
YFO?BKW,FI,B739,0
YFR?VRK,NW,CRJ7,0
YFS?ALY,MX,A332,0
YGK?CGZ,HX,787,0
YGL?HGD,DH,B735,0
YGP?HOP,SE,717,0
YGQ?HUW,WI,A388,0
YGR?MFK,FI,E170,0
YHB?RWF,QX,MD-80,0
YHD?PZB,UA,B712,0
YHI?PMW,BBB,CRJ7,0
YHK?QJB,2Q,PA-31,0
YHM?LTT,WS,DC10,0
YHU?KMJ,AC,B764,0
YHY?VCS,JL,E175,0
YHZ?HBE,bxr,B777,0
